,_id,ViewData.BreakID,ViewData.Status,ViewData.SPM ID,ViewData.Currency,ViewData.Custodian Account,ViewData.ISIN,ViewData.Transaction Type,ViewData.Trade Date,ViewData.CUSIP,ViewData.Description,ViewData.SEDOL,ViewData.Ticker,ViewData.Underlying Cusip,ViewData.Underlying ISIN,ViewData.Underlying Sedol,ViewData.Settle Date,ViewData.Fund,ViewData.Cancel Amount,ViewData.Accounting Net Amount,ViewData.B-P Net Amount,ViewData.Net Amount Difference,ViewData.Net Amount Difference Absolute,ViewData.Custodian,ViewData.Asset Type Category,ViewData.Cancel Flag,ViewData.Investment Type,ViewData.Prime Broker,ViewData.Quantity,ViewData.Price,ViewData.Commission,ViewData.Transaction Category,ViewData.ExpiryDate,ViewData.Base Net Amount,ViewData.Strike Price,ViewData.OTE Ticker,ViewData.Age,ViewData.Age WK,ViewData.Mapped Custodian Account,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds
0,5e3787691554580ed8512ef1,1106678704,SDB,,USD,5229278B,US0268747849,BUY,01-21-2020,026874784,AMERICAN INTERNATIONAL GROUP,2027342,AIG,,0710868379,,01-23-2020,5229278B,-433897.07,,-433897.07,-433897.07,433897.07,5229278B,EQUITY,0.0,EQUITY,CITI,8323.0,52.1283,33.29,BUY,,,,,0,0,CITIGM_PB_USD_OG,,467_125715592_CITI
1,5e378abf155458119ca43f66,1106849581,SDB,,USD,038CDNXI1,US6937181088,Buy,01-16-2020,693718108,PACCAR INC           COM STK,2665861,PCAR,,,,01-21-2020,PO,-3274.56,,-3274.56,-3274.56,3274.56,MSCO,015A,0.0,PB,UBSA,42.0,77.9626,-0.13,BUY TO COVER,,,,,0,0,MS_PB_PO,,1244_125712442_Morgan Stanley
2,5e37e116155458044878e715,1107589447,SDB,,USD,038CDNXI1,US6937181088,Buy,01-16-2020,693718108,PACCAR INC           COM STK,2665861,PCAR,,,,01-21-2020,PO,-3274.56,,-3274.56,-3274.56,3274.56,MSCO,015A,0.0,PB,UBSA,42.0,77.9626,-0.13,BUY TO COVER,,,,,0,0,MS_PB_PO,,1244_125712442_Morgan Stanley
3,5e380d2d43338217dc174163,1108177632,UDB,,USD,038CDL8L6,,Futures Collateral,01-21-2020,987999XM6,DOLLARS,,USD,,,,01-21-2020,MA,-9958.07,,-8752.24,-8752.24,8752.24,MSCO,015G,0.0,PB,,0.0,0.0,0.0,FUTURES/VARIATION MARGIN,,,,,0,0,MS_PB_MA,,8_125712442_Morgan Stanley
4,5e380d2d43338217dc174173,1108177634,UDB,,USD,038CDMM20,,Futures Collateral,01-21-2020,987999XM6,DOLLARS,,USD,,,,01-21-2020,MF,-27635.16,,-22160.04,-22160.04,22160.04,MSCO,015G,0.0,PB,,0.0,0.0,0.0,FUTURES/VARIATION MARGIN,,,,,0,0,MS_PB_MF,,9_125712442_Morgan Stanley
5,5e380d2f43338217dc174207,1108177646,UDB,,USD,038CDNXI1,,Futures Collateral,01-21-2020,987999XM6,DOLLARS,,USD,,,,01-21-2020,PO,-19871.82,,-15705.1,-15705.1,15705.1,MSCO,015G,0.0,PB,,0.0,0.0,0.0,FUTURES/VARIATION MARGIN,,,,,0,0,MS_PB_PO,,12_125712442_Morgan Stanley
6,5e380d2f43338217dc17421f,1108177648,UDB,,USD,038CDAA78,,Futures Collateral,01-21-2020,987999XM6,DOLLARS,,USD,,,,01-21-2020,OG,-92941.85,,-52221.0,-52221.0,52221.0,MSCO,015G,0.0,PB,,0.0,0.0,0.0,FUTURES/VARIATION MARGIN,,,,,0,0,MS_PB_OG,,2_125712442_Morgan Stanley
7,5e380d2f43338217dc17424f,1108177652,UDB,,USD,038CDACP6,,Futures Collateral,01-21-2020,987999XM6,DOLLARS,,USD,,,,01-21-2020,MS,-225796.45,,-112366.34,-112366.34,112366.34,MSCO,015G,0.0,PB,,0.0,0.0,0.0,FUTURES/VARIATION MARGIN,,,,,0,0,MS_PB_MS,,4_125712442_Morgan Stanley
8,5e380d3243338217dc17439f,1108177680,UDB,,USD,038CDJ831,,Futures Collateral,01-21-2020,987999XM6,DOLLARS,,USD,,,,01-21-2020,R1,-365814.67,,-196969.08,-196969.08,196969.08,MSCO,015G,0.0,PB,,0.0,0.0,0.0,FUTURES/VARIATION MARGIN,,,,,0,0,MS_PB_R1,,6_125712442_Morgan Stanley
9,5e3815a843338217dc17cf41,1108177632,UDB,,USD,038CDL8L6,,Futures Collateral,01-21-2020,987999XM6,DOLLARS,,USD,,,,01-21-2020,MA,-9958.07,,-8752.24,-8752.24,8752.24,MSCO,015G,0.0,PB,,0.0,0.0,0.0,FUTURES/VARIATION MARGIN,,,,,0,0,MS_PB_MA,,8_125712442_Morgan Stanley
