,_id,ViewData.BreakID,ViewData.Status,ViewData.SPM ID,ViewData.Currency,ViewData.Custodian Account,ViewData.ISIN,ViewData.Transaction Type,ViewData.Trade Date,ViewData.CUSIP,ViewData.Description,ViewData.SEDOL,ViewData.Ticker,ViewData.Underlying Cusip,ViewData.Underlying ISIN,ViewData.Underlying Sedol,ViewData.Settle Date,ViewData.Fund,ViewData.Cancel Amount,ViewData.Accounting Net Amount,ViewData.B-P Net Amount,ViewData.Net Amount Difference,ViewData.Net Amount Difference Absolute,ViewData.Custodian,ViewData.Asset Type Category,ViewData.Cancel Flag,ViewData.Investment Type,ViewData.Prime Broker,ViewData.Quantity,ViewData.Price,ViewData.Commission,ViewData.Transaction Category,ViewData.ExpiryDate,ViewData.Base Net Amount,ViewData.Strike Price,ViewData.OTE Ticker,ViewData.Age,ViewData.Age WK,ViewData.Mapped Custodian Account,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds
4674,5e9807e0155458331c5a47b5,1092870458,OB,,GBP,MS_PB_MA,,EQUITY SWAP,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,MA,-39.45,-39.45,,39.45,39.45,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,0.0,0.0,,,,39.45,0.0,GBP=,85,61,MS_PB_MA,281_125715430_Advent Geneva,
4675,5e9807e0155458331c5a47b8,1092870663,OB,,GBP,MS_PB_MA,,Transfer,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,MA,24.37,24.37,,-24.37,24.37,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,24.37,1.0,,,,24.37,0.0,GBP=,85,61,MS_PB_MA,280_125715430_Advent Geneva,
4676,5e9807e0155458331c5a47bd,1092870641,OB,,GBP,MS_PB_MA,,Transfer,01-16-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-16-2020,MA,24.37,24.37,,-24.37,24.37,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,24.37,1.0,,,,24.37,0.0,GBP=,85,61,MS_PB_MA,271_125715430_Advent Geneva,
4677,5e9807e0155458331c5a47c0,1092870588,OB,,GBP,MS_PB_MA,,EQUITY SWAP,01-16-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-16-2020,MA,-15.87,-15.87,,15.87,15.87,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,0.0,0.0,,,,15.87,0.0,GBP=,85,61,MS_PB_MA,273_125715430_Advent Geneva,
4678,5e9807e1155458331c5a4844,1092870565,OB,,GBP,MS_PB_PO,,Transfer,01-16-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-16-2020,PO,12.29,12.29,,-12.29,12.29,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,12.29,1.0,,,,12.29,0.0,GBP=,85,61,MS_PB_PO,1361_125715430_Advent Geneva,
4679,5e9807e1155458331c5a4847,1092870598,OB,,GBP,MS_PB_PO,,Transfer,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,PO,12.29,12.29,,-12.29,12.29,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,12.29,1.0,,,,12.29,0.0,GBP=,85,61,MS_PB_PO,1366_125715430_Advent Geneva,
4680,5e9807e1155458331c5a484c,1092870452,OB,,GBP,MS_PB_PO,,EQUITY SWAP,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,PO,-35.2,-35.2,,35.2,35.2,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,0.0,0.0,,,,35.2,0.0,GBP=,85,61,MS_PB_PO,1367_125715430_Advent Geneva,
4681,5e9807e1155458331c5a4879,1092870491,OB,,GBP,MS_PB_OG,,EQUITY SWAP,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,OG,-458.7,-458.7,,458.7,458.7,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,0.0,0.0,,,,458.7,0.0,GBP=,85,61,MS_PB_OG,174_125715430_Advent Geneva,
4682,5e9807e1155458331c5a487b,1092870638,OB,,GBP,MS_PB_OG,,Transfer,01-01-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-01-2020,OG,283.35,283.35,,-283.35,283.35,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,283.35,1.0,,,,283.35,0.0,GBP=,85,61,MS_PB_OG,173_125715430_Advent Geneva,
4683,5e9807e1155458331c5a487d,1092870614,OB,,GBP,MS_PB_OG,,Transfer,01-16-2020,,"GREAT BRITIAN, POUNDS",,,,,,01-16-2020,OG,283.35,283.35,,-283.35,283.35,MS,Cash and Equivalents,0.0,Cash and Equivalents,MS,283.35,1.0,,,,283.35,0.0,GBP=,85,61,MS_PB_OG,146_125715430_Advent Geneva,
